t,staggered_magnetisation
0.0,-0.4054259587723879
0.1,-0.4035152210558018
0.2,-0.39785743943379925
0.30000000000000004,-0.38867175402098847
0.4,-0.37630897145921366
0.5,-0.3612309538870873
0.6000000000000001,-0.34398399933522683
0.7000000000000001,-0.3251680324480965
0.8,-0.30540366646927347
0.9,-0.2852995471846246
1.0,-0.26542201962339734
1.1,-0.24626906282650077
1.2000000000000002,-0.22824999278484878
1.3,-0.2116719693684279
1.4000000000000001,-0.19673372241260823
1.5,-0.1835264792464995
1.6,-0.17204144531717497
1.7000000000000002,-0.16218302519744246
1.8,-0.15378631710895432
1.9000000000000001,-0.14663724762749555
2.0,-0.14049377969186488
2.1,-0.1351065623739698
2.2,-0.1302376529206736
2.3000000000000003,-0.1256761375906049
2.4000000000000004,-0.1212497015911402
2.5,-0.11683171403406983
2.6,-0.11234383613923984
2.7,-0.10775435169551971
2.8000000000000003,-0.10307284293463692
2.9000000000000004,-0.0983420576001111
3.0,-0.0936279252559891
3.1,-0.08900870948278698
3.2,-0.08456445679132195
3.3000000000000003,-0.08036766970941345
3.4000000000000004,-0.07647580109716456
3.5,-0.0729261181236371
3.6,-0.06973310121878223
3.7,-0.06688841346934085
3.8000000000000003,-0.06436323414004684
3.9000000000000004,-0.062112405825535906
4.0,-0.060079830049284084
4.1000000000000005,-0.05820448140969207
4.2,-0.05642643151228576
4.3,-0.05469224423524766
4.4,-0.05295931524677355
4.5,-0.051198658262540525
4.6000000000000005,-0.04939621736171587
4.7,-0.04755246544580499
4.800000000000001,-0.04568063712382551
4.9,-0.043803870447271735
5.0,-0.04195150730619836
